SKU,Quantity
01178300XS,0
01178300XXL,2
01178312,1
011783123XL,0
01178312L,0
01178312M,0
01178312S,0
01178312XL,0
01178312XS,0
01178312XXL,1
01178318,1
011783183XL,0
01178318L,1
01178318M,0
01178318S,0
01178318XL,0
01178318XS,0
01178318XXL,0
01178350,1
011783503XL,0
01178350L,1
01178350M,0
01178350S,0
01178350XL,0
01178350XS,0
01178350XXL,0
01178400,1
011784003XL,0
01178400L,1
01178400M,0
01178400S,0
01178400XL,0
01178400XS,0
01178400XXL,0
01179102,0
01179102L,0
01179102M,0
01179102S,0
01179102XL,0
01179102XXL,0
01179145,0
01179145L,0
01179145M,0
01179145S,0
01179145XL,0
01179145XXL,0
01179153,0
01179153L,0
01179153M,0
01179153S,0
01179153XL,0
01179153XXL,0
01179241,15
01179241L,5
01179241M,1
01179241S,4
01179241XL,3
01179241XXL,2
01179280,0
01179280L,0
01179280M,0
01179280S,0
01179280XL,0
01179280XXL,0
01179312,2
01179312L,0
01179312M,0
01179312S,0
01179312XL,0
01179312XXL,2
01179319,0
01179319L,0
01179319M,0
01179319S,0
01179319XL,0
01179319XXL,0
01180102,0
01180102L,0
01180102M,0
01180102S,0
01180102XL,0
01180102XXL,0
01180145,0
01180145L,0
01180145M,0
01180145S,0
01180145XL,0
01180145XXL,0
01180241,63
011802413XL,28
01180241L,0
01180241M,0
01180241S,0
01180241XL,19
01180241XXL,16
01180280,0
01180280L,0
01180280M,0
01180280S,0
01180280XL,0
01180280XXL,0
01180312,0
01180312L,0
01180312M,0
01180312S,0
01180312XL,0
01180312XXL,0
01180319,1
01180319L,0
01180319M,0
01180319S,1
01180319XL,0
01180319XXL,0
01181144,0
01181144L,0
01181144M,0
01181144S,0
01181144XL,0
01181144XXL,0
01181163,2
01181163L,0
01181163M,0
01181163S,0
01181163XL,2
01181163XXL,0
01181236,40
01181236L,0
01181236M,0
01181236S,0
01181236XL,20
01181236XXL,20
01181262,6
01181262L,6
01181262M,0
01181262S,0
01181262XL,0
01181262XXL,0
01181322,0
01181322L,0
01181322M,0
01181322S,0
01181322XL,0
01181322XXL,0
01181348,0
01181348L,0
01181348M,0
01181348S,0
01181348XL,0
01181348XXL,0
01181350,0
01181350L,0
01181350M,0
01181350S,0
01181350XL,0
01181350XXL,0
01182144,0
01182144L,0
01182144M,0
01182144S,0
01182144XL,0
01182144XXL,0
01182163,0
01182163L,0
01182163M,0
01182163S,0
01182163XL,0
01182163XXL,0
01182236,0
01182236L,0
01182236M,0
01182236S,0
01182236XL,0
01182236XXL,0
01182262,0
01182262L,0
01182262M,0
01182262S,0
01182262XL,0
01182262XXL,0
01182322,1
01182322L,1
01182322M,0
01182322S,0
01182322XL,0
01182322XXL,0
01182348,2
01182348L,0
01182348M,0
01182348S,0
01182348XL,0
01182348XXL,2
01182350,0
01182350L,0
01182350M,0
01182350S,0
01182350XL,0
01182350XXL,0
01185165,2
01185165L,2
01187986,0
01187986L,0
01187986M,0
01187986S,0
01187986XL,0
01187986XXL,0
01188986,0
01188986L,0
01188986M,0
01188986S,0
01188986XL,0
01188986XXL,0
01193145,1
